like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
-40.47,0.4995,0.679,0.3662,0.01915,24.39,14.64,5.492,1.875,0.622,0.2041,0.0668,0.0,0.0,0.0,0.0,3.3e-06,0.0004644,0.01162,3.0
-39.22,0.376,0.5103,0.401,0.00904,33.4,4.758,0.346,0.02176,0.001303,7.64e-05,4.4e-06,0.0,0.0,0.0,0.0,0.0002878,0.05453,1.019,4.0
-43.5,0.435,0.6084,0.214,0.02856,16.5,17.19,10.42,5.645,2.951,1.521,0.78,0.0,0.0,0.0,0.0,0.0,2.4e-07,1.496e-05,0.0
-42.44,0.4885,0.4321,0.4214,0.00926,34.7,11.56,1.695,0.2073,0.02376,0.00265,0.0002916,0.0,0.0,0.0,0.0,1e-07,0.000159,0.016,1.0
-46.7,0.4133,0.2532,0.2664,0.01059,25.44,25.98,5.906,0.944,0.1322,0.0174,0.002214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-49.56,0.4995,0.4333,0.1547,0.014595,9.01,19.0,17.69,13.74,10.01,7.094,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-38.47,0.3718,0.4246,0.4436,0.00471,33.88,1.543,0.0304,0.000497,7.6e-06,1e-07,0.0,0.0,0.0,0.0,6e-08,0.001058,0.2612,3.959,4.0
-39.72,0.4924,0.4329,0.4736,0.02763,33.25,6.016,0.4795,0.0319,0.00199,0.00012064,7.2e-06,0.0,0.0,0.0,0.0,1.5e-06,0.001235,0.06683,0.0
-34.03,0.461,0.661,0.4924,0.0285,26.67,4.875,0.5474,0.05573,0.0055,0.000537,5.22e-05,0.0,0.0,0.0,1.6e-06,0.001846,0.0923,0.7734,1.0
-46.16,0.4133,0.2502,0.3586,0.01059,43.8,8.32,0.345,0.01001,0.0002537,6e-06,1e-07,0.0,0.0,0.0,0.0,0.0,6e-08,0.0002172,2.0
-37.12,0.4407,0.4644,0.499,0.02383,31.36,2.398,0.08636,0.002638,7.6e-05,2.15e-06,6e-08,0.0,0.0,0.0,0.0,0.0003626,0.0734,1.162,3.0
-26.22,0.3083,0.4246,0.4436,0.00471,21.47,0.146,0.0004296,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.034e-05,0.1483,5.47,12.39,4.0
-39.38,0.435,0.4707,0.4424,0.02043,33.2,5.12,0.3767,0.02354,0.001391,8.035e-05,4.6e-06,0.0,0.0,0.0,0.0,2.66e-05,0.00981,0.2927,0.0
-19.58,0.3545,0.5063,0.4934,0.01528,22.5,0.4253,0.004074,3.374e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,7.033e-05,0.1121,2.982,7.668,1.0
-46.16,0.4133,0.2502,0.3586,0.01059,43.8,8.32,0.345,0.01001,0.0002537,6e-06,1e-07,0.0,0.0,0.0,0.0,0.0,6e-08,0.0002172,2.0
-38.84,0.4407,0.4644,0.499,0.00969,33.66,2.764,0.1068,0.0035,0.0001083,3.3e-06,1e-07,0.0,0.0,0.0,0.0,0.0005164,0.11224,1.906,3.0
