like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,chain
-18.47,0.3198,0.5923,0.3054,0.02734,28.47,7.35,1.085,0.0,7.397e-05,0.009735,0.1742,2.0
-16.69,0.3833,0.4749,0.4758,0.01709,28.83,1.205,0.0242,8e-07,0.005512,0.516,3.998,3.0
-23.55,0.377,0.4927,0.1605,0.01036,14.78,22.28,16.66,0.0,0.0,0.0,2e-07,4.0
-17.25,0.3928,0.3762,0.4905,0.02583,29.44,0.5435,0.003824,0.0,0.0008144,0.2373,2.963,0.0
-18.67,0.3733,0.5986,0.3765,0.01802,29.8,6.543,0.827,1e-07,0.0003245,0.0341,0.4976,1.0
-9.43,0.3518,0.453,0.4895,0.0253,21.66,0.2566,0.0014,1.44e-05,0.05353,2.04,5.69,2.0
-15.125,0.38,0.572,0.4766,0.01752,26.52,1.642,0.0566,1.526e-05,0.0223,0.8706,4.305,3.0
-21.42,0.3557,0.3467,0.2737,0.01765,32.4,15.04,2.424,0.0,0.0,3e-07,0.0001522,4.0
-19.81,0.3896,0.4656,0.328,0.02776,30.1,10.586,1.757,0.0,1e-07,0.0001134,0.008156,0.0
-18.67,0.3733,0.5986,0.3765,0.01802,29.8,6.543,0.827,1e-07,0.0003245,0.0341,0.4976,1.0
-14.33,0.3286,0.4846,0.4265,0.02452,25.47,0.7476,0.01072,3.76e-06,0.01541,0.8706,4.277,2.0
-19.38,0.3826,0.636,0.3074,0.02527,25.84,12.09,3.396,0.0,5.9e-06,0.0009313,0.02295,3.0
-20.9,0.3623,0.3467,0.2737,0.02586,30.36,14.6,2.438,0.0,0.0,1e-07,7.17e-05,4.0
-19.6,0.3928,0.1326,0.4905,0.02583,34.03,0.000977,0.0,0.0,0.0,0.00066,1.248,0.0
-17.48,0.399,0.6235,0.4414,0.01797,28.55,4.33,0.388,1.9e-06,0.003035,0.1738,1.497,1.0
-14.875,0.3518,0.12354,0.4895,0.02531,13.44,4.1e-06,0.0,0.0,1e-07,0.1371,10.13,2.0
-12.445,0.3557,0.5303,0.4758,0.01765,24.23,0.7495,0.01219,3.606e-05,0.05698,1.809,6.168,3.0
-20.83,0.3567,0.5015,0.2622,0.01897,27.2,15.83,4.63,0.0,0.0,1.89e-05,0.001565,4.0
-14.61,0.3818,0.508,0.4905,0.02402,25.73,0.951,0.01787,5.25e-06,0.0159,0.8125,4.04,0.0
-18.61,0.4045,0.4692,0.453,0.02487,31.31,2.625,0.1045,0.0,0.0002904,0.0597,0.984,1.0
-19.7,0.373,0.4583,0.3184,0.02953,30.33,9.93,1.512,0.0,1e-07,0.0001247,0.00904,2.0
-9.93,0.3455,0.5444,0.4758,0.01709,22.62,0.592,0.00831,0.0001149,0.11707,2.648,6.816,3.0
-21.1,0.3818,0.5474,0.263,0.01788,24.98,17.14,6.348,0.0,0.0,1.645e-05,0.001084,4.0
-20.78,0.3684,0.508,0.2551,0.02402,24.89,16.39,5.49,0.0,0.0,5.8e-06,0.000513,0.0
-17.9,0.424,0.6694,0.442,0.01688,28.25,6.145,0.8286,1.43e-06,0.001728,0.0962,0.918,1.0
-9.43,0.3518,0.453,0.4895,0.0253,21.66,0.2566,0.0014,1.44e-05,0.05353,2.04,5.69,2.0
-13.99,0.3706,0.5903,0.4766,0.016,25.48,1.445,0.0467,4.524e-05,0.04462,1.316,5.246,3.0
-19.72,0.3047,0.5015,0.296,0.01811,32.47,6.957,0.749,0.0,1.866e-05,0.006046,0.1847,4.0
-17.86,0.4734,0.6265,0.4905,0.02388,28.22,5.64,0.67,3.6e-07,0.000738,0.05435,0.607,0.0
-14.19,0.3486,0.6235,0.4414,0.01797,25.34,1.798,0.0755,5.525e-05,0.04105,1.101,4.438,1.0
-19.84,0.313,0.4475,0.326,0.02032,33.9,4.242,0.2413,0.0,2.69e-05,0.01186,0.3716,2.0
-19.86,0.3926,0.4958,0.3303,0.02428,29.78,11.05,2.043,0.0,4e-07,0.0002365,0.01317,3.0
-19.69,0.3074,0.568,0.2666,0.01886,29.31,10.81,2.21,0.0,7e-06,0.001694,0.05136,4.0
-15.195,0.3872,0.4307,0.498,0.02908,26.22,0.564,0.00532,4e-07,0.005085,0.5254,3.47,0.0
-15.51,0.3486,0.5103,0.4414,0.01797,27.16,1.179,0.02608,4.05e-06,0.01363,0.7915,4.52,1.0
-7.457,0.3464,0.453,0.4895,0.0253,20.62,0.2063,0.00095,2.45e-05,0.07684,2.47,5.82,2.0
-11.53,0.3127,0.611,0.4282,0.007744,23.52,0.9644,0.02307,0.0003898,0.2014,3.51,8.836,3.0
-19.95,0.3418,0.5493,0.2737,0.02205,27.86,12.78,3.17,0.0,7e-07,0.0002594,0.011246,4.0
-15.92,0.3909,0.4258,0.498,0.02411,27.5,0.6377,0.006413,2.4e-07,0.004116,0.506,3.844,0.0
-17.36,0.3486,0.5103,0.425,0.0082,30.16,1.826,0.05643,1.55e-06,0.0073,0.592,4.72,1.0
-6.0,0.3464,0.5713,0.4895,0.01826,20.97,0.512,0.006966,0.0003757,0.2186,3.389,6.633,2.0
-20.4,0.3406,0.522,0.26,0.02089,27.52,14.375,3.904,0.0,1e-07,6.2e-05,0.003828,3.0
-20.23,0.3418,0.4126,0.282,0.02744,31.22,11.125,1.668,0.0,0.0,1.806e-05,0.002518,4.0
-15.6,0.3872,0.39,0.498,0.02986,26.78,0.4043,0.002422,6e-08,0.00242,0.4146,3.402,0.0
-15.51,0.3486,0.5103,0.4414,0.01797,27.16,1.179,0.02608,4.05e-06,0.01363,0.7915,4.52,1.0
-16.86,0.3464,0.5713,0.422,0.00504,29.33,2.35,0.1048,8.64e-06,0.01646,0.837,5.37,2.0
-19.69,0.3071,0.529,0.2942,0.01572,31.94,7.78,0.996,0.0,2.81e-05,0.007133,0.1938,3.0
-21.25,0.377,0.3171,0.3005,0.02246,34.06,12.6,1.447,0.0,0.0,2e-07,0.0001297,4.0
-16.58,0.3845,0.4595,0.473,0.02835,27.98,1.097,0.02003,2.4e-07,0.00255,0.2869,2.451,0.0
-15.51,0.3486,0.5103,0.4414,0.01797,27.16,1.179,0.02608,4.05e-06,0.01363,0.7915,4.52,1.0
-10.3,0.3586,0.5713,0.4895,0.02614,21.89,0.689,0.01208,0.0001258,0.0943,1.883,4.75,2.0
-6.44,0.3435,0.596,0.4834,0.01735,21.17,0.616,0.01029,0.0005126,0.237,3.395,6.684,3.0
-21.81,0.3083,0.3171,0.3005,0.02246,39.94,4.27,0.1415,0.0,0.0,0.0001142,0.02652,4.0
-14.58,0.3845,0.4553,0.498,0.02908,25.44,0.612,0.006805,1.25e-06,0.00888,0.659,3.633,0.0
-17.3,0.3486,0.5103,0.4167,0.01797,29.4,1.951,0.06604,7e-07,0.00361,0.3208,2.799,1.0
-9.375,0.3516,0.4856,0.4895,0.01826,22.2,0.3516,0.002724,4.154e-05,0.08936,2.686,7.06,2.0
-14.625,0.3455,0.5444,0.4429,0.01709,26.16,1.2295,0.03102,1.46e-05,0.02675,1.087,5.027,3.0
-22.97,0.3083,0.2556,0.3005,0.02246,44.47,3.1,0.04892,0.0,0.0,8.4e-06,0.00756,4.0
-20.77,0.3845,0.4553,0.277,0.0241,26.77,15.91,4.37,0.0,0.0,2.9e-06,0.000399,0.0
-7.766,0.3118,0.623,0.433,0.01797,21.56,0.7905,0.01714,0.000559,0.2163,3.014,6.305,1.0
-15.33,0.3809,0.498,0.4895,0.013275,27.25,0.997,0.01823,5.1e-06,0.01903,1.103,5.938,2.0
-18.4,0.4048,0.4548,0.462,0.0267,31.0,2.115,0.0667,0.0,0.00034,0.07214,1.133,3.0
-22.52,0.3054,0.2803,0.2944,0.02156,42.56,3.975,0.0969,0.0,0.0,1.866e-05,0.010056,4.0
-17.48,0.3845,0.4814,0.4492,0.02968,29.12,1.881,0.05902,1e-07,0.0009737,0.1271,1.419,0.0
-8.22,0.3118,0.623,0.433,0.01467,21.92,0.817,0.018,0.000597,0.2349,3.328,7.074,1.0
-4.543,0.3464,0.6606,0.4895,0.01826,20.52,0.78,0.01823,0.001414,0.3384,3.531,6.17,2.0
-9.664,0.3115,0.631,0.4763,0.00825,17.52,0.3127,0.00333,0.007626,1.279,8.07,7.83,3.0
-25.83,0.3374,0.1072,0.3015,0.02931,58.38,1.09,0.000482,0.0,0.0,0.0,0.0,4.0
-14.58,0.3845,0.4553,0.498,0.02908,25.44,0.612,0.006805,1.25e-06,0.00888,0.659,3.633,0.0
-21.28,0.3203,0.3572,0.2742,0.01822,35.8,10.28,1.061,0.0,0.0,1e-05,0.002705,1.0
-13.234,0.3809,0.5425,0.498,0.02812,23.92,0.902,0.01822,2e-05,0.03047,1.017,3.828,2.0
-14.4,0.3015,0.596,0.4834,0.00446,14.91,0.1342,0.000693,0.01752,2.506,11.09,6.758,3.0
-19.47,0.3054,0.525,0.2844,0.02156,30.92,8.19,1.132,0.0,1.127e-05,0.003275,0.10016,4.0
-14.58,0.3845,0.4553,0.498,0.02908,25.44,0.612,0.006805,1.25e-06,0.00888,0.659,3.633,0.0
-17.83,0.3884,0.555,0.433,0.022,29.45,3.506,0.2275,3.6e-07,0.00129,0.1167,1.255,1.0
-18.58,0.3464,0.5654,0.3452,0.02496,29.61,6.227,0.723,0.0,0.0001171,0.01668,0.2935,2.0
-13.39,0.3816,0.596,0.492,0.02817,23.83,1.279,0.03943,4.23e-05,0.0361,0.953,3.465,3.0
-19.67,0.3264,0.6978,0.2773,0.012436,27.25,12.18,3.46,6e-08,7.004e-05,0.00647,0.11,4.0
-19.11,0.4182,0.4553,0.447,0.0274,32.2,3.396,0.1656,0.0,5.734e-05,0.01869,0.4517,0.0
-16.69,0.3262,0.537,0.3936,0.01883,28.38,1.977,0.07324,2e-06,0.00633,0.4155,3.016,1.0
-18.23,0.4211,0.52,0.4531,0.02834,29.94,3.773,0.2465,6e-08,0.0002725,0.04016,0.609,2.0
-19.1,0.3604,0.565,0.338,0.02226,29.78,8.14,1.2295,0.0,3.237e-05,0.006046,0.139,3.0
-19.08,0.3557,0.6704,0.325,0.015465,28.12,9.875,2.15,6e-08,0.0001541,0.01377,0.2113,4.0
-17.66,0.381,0.4155,0.462,0.02673,29.92,1.004,0.014275,0.0,0.000783,0.171,2.158,0.0
-17.25,0.3433,0.471,0.415,0.02255,29.27,1.444,0.034,2.4e-07,0.0023,0.27,2.568,1.0
-5.977,0.3196,0.6836,0.4473,0.01602,21.05,0.956,0.02725,0.001564,0.337,3.514,6.51,2.0
-13.055,0.3435,0.596,0.4834,0.001606,22.9,0.721,0.01303,0.0007024,0.3516,5.445,11.6,3.0
-19.2,0.322,0.4912,0.3518,0.015465,32.6,3.654,0.2025,0.0,0.0003078,0.0602,1.059,4.0
-17.48,0.381,0.4155,0.462,0.0299,29.45,0.9727,0.01361,0.0,0.0007234,0.1555,1.931,0.0
-8.22,0.3118,0.623,0.433,0.01467,21.92,0.817,0.018,0.000597,0.2349,3.328,7.074,1.0
-4.543,0.3464,0.6606,0.4895,0.01826,20.52,0.78,0.01823,0.001414,0.3384,3.531,6.17,2.0
-13.195,0.3389,0.596,0.4834,0.000789,22.23,0.627,0.01015,0.001013,0.4539,6.297,12.016,3.0
-15.88,0.322,0.4592,0.4116,0.015465,27.9,0.832,0.01156,1.2e-06,0.00947,0.8154,5.332,4.0
-17.95,0.3494,0.4424,0.4116,0.02722,30.27,1.518,0.03427,0.0,0.0006185,0.12006,1.602,0.0
-8.92,0.3147,0.639,0.4333,0.01467,22.22,0.9526,0.02458,0.00061,0.2195,3.098,6.883,1.0
-7.01,0.3208,0.6606,0.4895,0.01602,16.97,0.3481,0.00439,0.00861,1.111,6.26,5.902,2.0
-11.086,0.3164,0.613,0.4836,0.005608,17.72,0.287,0.002722,0.00653,1.3,8.81,8.68,3.0
-14.49,0.322,0.573,0.4116,0.015465,26.05,1.437,0.04422,2.73e-05,0.03473,1.191,5.2,4.0
-17.95,0.3494,0.4424,0.4116,0.02722,30.27,1.518,0.03427,0.0,0.0006185,0.12006,1.602,0.0
-15.52,0.3035,0.62,0.373,0.01308,27.0,2.332,0.1188,2.724e-05,0.02586,0.8716,4.37,1.0
-7.83,0.3154,0.59,0.4404,0.01602,21.72,0.6543,0.01124,0.0003965,0.2089,3.29,6.98,2.0
-8.98,0.3435,0.4402,0.4832,0.01735,21.81,0.213,0.0009317,1.69e-05,0.074,2.906,7.754,3.0
-14.58,0.322,0.573,0.4116,0.01413,26.22,1.455,0.0451,2.8e-05,0.03592,1.24,5.45,4.0
-12.28,0.3494,0.4424,0.4712,0.0296,23.19,0.339,0.002234,3.34e-06,0.0204,1.154,4.492,0.0
-18.28,0.316,0.552,0.3555,0.01278,30.77,3.598,0.2284,5e-07,0.001889,0.1752,1.904,1.0
-10.85,0.3499,0.4954,0.4785,0.0286,22.1,0.4263,0.004093,2.414e-05,0.0504,1.603,4.664,2.0
-8.445,0.3435,0.473,0.4834,0.01735,21.72,0.2817,0.001748,4.24e-05,0.1019,3.055,7.492,3.0
-13.22,0.3164,0.6733,0.424,0.00188,24.58,1.552,0.06097,0.000677,0.2301,3.615,9.83,4.0
-13.4,0.325,0.4788,0.429,0.02731,24.34,0.585,0.0068,5.1e-06,0.01978,1.001,4.273,0.0
