like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,chain
11.52,0.3267,0.6885,0.4766,0.01631,19.14,0.6523,0.014,0.00414,0.629,4.74,6.42,0.0
-2.137,0.3074,0.565,0.4543,0.02171,18.14,0.2751,0.002304,0.001063,0.4316,4.473,5.707,1.0
-13.805,0.3237,0.6543,0.408,0.0248,24.2,1.89,0.0901,7.57e-05,0.04044,0.9136,3.393,2.0
-14.484,0.3684,0.3315,0.4912,0.02103,25.95,0.1337,0.0002265,0.0,0.002668,0.7715,6.246,3.0
-16.56,0.3152,0.5635,0.3777,0.01862,28.08,2.273,0.1016,3.4e-06,0.00753,0.4216,2.898,4.0
-11.85,0.3567,0.582,0.4795,0.01364,23.94,0.9536,0.02144,0.0001318,0.1044,2.355,6.973,0.0
-12.52,0.3074,0.2345,0.4543,0.02171,13.77,0.001084,0.0,0.0,0.00969,3.586,8.38,1.0
-16.22,0.3076,0.1578,0.4514,0.02815,9.766,1.23e-05,0.0,0.0,0.0001864,1.692,8.24,2.0
-19.2,0.309,0.1012,0.4539,0.02888,4.57,0.0,0.0,0.0,5e-07,0.7373,9.516,3.0
-9.336,0.3452,0.4573,0.4846,0.01595,22.05,0.2578,0.001399,2.676e-05,0.0872,3.045,7.977,4.0
-3.688,0.3267,0.562,0.4685,0.01631,20.4,0.417,0.00469,0.000494,0.2842,4.09,7.184,0.0
-6.477,0.3228,0.37,0.4614,0.02142,20.0,0.0694,9.01e-05,2.5e-06,0.04422,2.838,7.406,1.0
-16.5,0.3,0.4583,0.499,0.02419,9.96,0.01292,7.8e-06,0.005486,1.933,7.363,2.117,2.0
-8.484,0.3357,0.3315,0.4868,0.01564,18.89,0.02939,1.5e-05,9.5e-07,0.04434,3.871,9.46,3.0
-10.375,0.3186,0.2267,0.4473,0.02383,19.14,0.00362,1e-07,0.0,0.000726,1.077,8.49,4.0
-3.947,0.3032,0.605,0.4363,0.02347,19.38,0.4744,0.006733,0.0009227,0.3123,3.443,5.383,0.0
-12.91,0.3225,0.6714,0.4143,0.02892,22.94,1.651,0.0738,0.0001427,0.05667,1.03,3.225,1.0
-19.28,0.3,0.1012,0.439,0.02419,4.992,0.0,0.0,0.0,3.6e-07,0.7173,11.625,2.0
-14.76,0.3357,0.3315,0.4492,0.01564,26.3,0.1322,0.0002183,0.0,0.003477,0.98,7.734,3.0
-16.31,0.3186,0.2267,0.4917,0.014465,9.664,0.0001973,0.0,6e-08,0.05304,8.5,7.242,4.0
-5.152,0.3352,0.5845,0.4766,0.01631,20.83,0.5273,0.007557,0.000562,0.272,3.805,7.04,0.0
-11.72,0.3154,0.3733,0.4836,0.01417,14.86,0.01997,1.013e-05,5.66e-05,0.3364,7.695,7.363,1.0
-12.055,0.3284,0.225,0.4714,0.01813,17.0,0.0019045,6e-08,0.0,0.002121,2.102,10.64,2.0
-9.91,0.3357,0.3315,0.4949,0.01269,17.62,0.02135,8.5e-06,2.2e-06,0.0778,5.285,10.055,3.0
-18.03,0.317,0.3533,0.3914,0.02466,30.89,0.515,0.003052,0.0,0.0003226,0.157,2.664,4.0
1.153,0.3337,0.6885,0.4915,0.01391,18.9,0.6035,0.012146,0.005394,0.7686,5.426,6.89,0.0
-16.88,0.3074,0.565,0.3604,0.02171,28.19,2.574,0.1298,1.85e-06,0.0045,0.2808,2.156,1.0
-9.234,0.3074,0.6416,0.4236,0.02724,20.81,0.842,0.02052,0.000499,0.1642,2.143,4.43,2.0
-14.61,0.3582,0.5254,0.4736,0.006054,26.36,0.9263,0.01701,2.885e-05,0.0571,2.188,8.83,3.0
-12.21,0.3054,0.4229,0.413,0.02858,23.25,0.278,0.001435,1.97e-06,0.01762,1.18,4.8,4.0
-8.695,0.31,0.587,0.4302,0.01631,22.06,0.692,0.01232,0.0003095,0.1791,3.035,6.855,0.0
-11.914,0.315,0.2644,0.47,0.01866,14.19,0.002584,1e-07,6e-08,0.0314,4.85,8.42,1.0
-16.61,0.3142,0.3699,0.399,0.02644,28.45,0.4126,0.002241,0.0,0.001157,0.3118,3.41,2.0
-9.91,0.3357,0.3315,0.4949,0.01269,17.62,0.02135,8.5e-06,2.2e-06,0.0778,5.285,10.055,3.0
-9.45,0.3262,0.2737,0.4626,0.02078,19.5,0.01236,1.97e-06,0.0,0.00574,1.963,8.78,4.0
2.238,0.3267,0.6885,0.4766,0.0188,18.9,0.636,0.01349,0.003937,0.5913,4.4,5.887,0.0
-12.42,0.3428,0.565,0.4543,0.02171,23.83,0.9365,0.02032,5.394e-05,0.05673,1.522,5.035,1.0
-11.0,0.324,0.262,0.473,0.0166,16.55,0.004486,3e-07,0.0,0.01382,3.596,10.086,2.0
-9.91,0.3357,0.3315,0.4949,0.01269,17.62,0.02135,8.5e-06,2.2e-06,0.0778,5.285,10.055,3.0
-19.23,0.3738,0.2737,0.4626,0.02078,33.6,0.192,0.0002766,0.0,2.205e-05,0.06805,2.748,4.0
-11.19,0.3086,0.4285,0.4766,0.01721,14.914,0.03967,4.61e-05,0.0003197,0.541,7.22,6.074,0.0
-7.375,0.3154,0.614,0.4814,0.01489,17.0,0.2678,0.00247,0.005306,1.013,6.617,6.3,1.0
-14.75,0.334,0.4583,0.439,0.01346,26.6,0.6157,0.006626,3.16e-06,0.0197,1.339,6.87,2.0
-14.58,0.3162,0.3315,0.4949,0.0181,12.02,0.005016,7e-07,2.867e-05,0.3513,8.22,5.387,3.0
-2.047,0.3154,0.698,0.4626,0.02078,18.42,0.612,0.01291,0.004772,0.63,4.3,5.414,4.0
-13.36,0.3567,0.582,0.4766,0.00665,25.1,1.087,0.02657,0.0001281,0.11035,2.707,8.71,0.0
2.87,0.3186,0.555,0.4683,0.01724,18.9,0.292,0.002459,0.0008388,0.4136,4.875,6.816,1.0
-12.945,0.3,0.4583,0.4006,0.02617,24.08,0.4514,0.003937,4.1e-06,0.02083,1.147,4.773,2.0
-16.66,0.309,0.3315,0.4949,0.01269,10.555,0.002947,3e-07,8.62e-05,0.7075,11.08,4.86,3.0
-9.49,0.3066,0.698,0.4626,0.02902,16.42,0.417,0.006737,0.00749,0.757,3.953,3.809,4.0
-3.027,0.3267,0.4026,0.4766,0.02037,18.72,0.07684,0.0001295,1.854e-05,0.112,3.918,7.23,0.0
-7.63,0.33,0.555,0.4683,0.01278,21.39,0.4695,0.00561,0.000351,0.2457,4.113,8.17,1.0
-10.85,0.3,0.575,0.4067,0.02771,22.02,0.74,0.01393,0.000108,0.0814,1.673,4.395,2.0
-8.25,0.3208,0.3315,0.472,0.01598,17.55,0.02168,8.8e-06,1.85e-06,0.0671,4.652,9.03,3.0
-7.766,0.3154,0.3105,0.4626,0.02078,16.98,0.014084,3.5e-06,5.4e-07,0.03937,3.771,7.938,4.0
-4.25,0.3267,0.6885,0.4766,0.01037,19.72,0.692,0.01531,0.00466,0.73,5.66,7.906,0.0
-10.58,0.3186,0.555,0.4873,0.00787,17.33,0.1875,0.001106,0.002966,1.024,8.45,8.29,1.0
-19.3,0.3,0.1012,0.439,0.02386,5.0,0.0,0.0,0.0,3.6e-07,0.7246,11.76,2.0
-14.625,0.3235,0.2109,0.4766,0.01301,13.66,0.0004542,0.0,0.0,0.004757,4.01,12.125,3.0
0.6772,0.3154,0.565,0.4626,0.02078,18.69,0.3083,0.002808,0.0008693,0.3835,4.32,5.996,4.0
-3.045,0.3093,0.605,0.4487,0.02321,18.98,0.434,0.005753,0.001138,0.3594,3.701,5.402,0.0
2.305,0.332,0.555,0.4846,0.01724,19.33,0.319,0.002874,0.0006933,0.3657,4.61,6.9,1.0
-3.191,0.3,0.4583,0.439,0.02419,18.42,0.1317,0.000438,9.13e-05,0.1774,3.727,5.91,2.0
-8.35,0.3247,0.3315,0.4785,0.01598,17.34,0.02069,8.1e-06,2e-06,0.0715,4.785,8.96,3.0
-9.73,0.3103,0.3408,0.4626,0.02844,15.516,0.01726,6.5e-06,3.93e-06,0.0813,3.797,5.47,4.0
-11.9,0.3267,0.585,0.437,0.01631,23.84,0.99,0.02328,0.00011384,0.08984,2.055,6.22,0.0
-8.68,0.3394,0.4485,0.4985,0.010345,19.34,0.1273,0.000382,0.0001107,0.2578,5.887,9.59,1.0
-1.093,0.3032,0.4482,0.4446,0.02065,18.56,0.1195,0.0003507,8.21e-05,0.188,4.215,6.73,2.0
-15.11,0.3042,0.3315,0.4785,0.01598,11.734,0.004494,5.4e-07,3.755e-05,0.4229,9.08,5.46,3.0
-11.1,0.3137,0.2644,0.4644,0.02051,14.85,0.003178,2e-07,6e-08,0.0224,4.06,8.27,4.0
-4.316,0.3267,0.5845,0.4766,0.01227,19.81,0.407,0.004734,0.001196,0.47,5.336,8.016,0.0
-1.059,0.3164,0.555,0.4702,0.01689,18.3,0.254,0.00192,0.001142,0.5054,5.35,6.73,1.0
-1.002,0.3032,0.4482,0.4446,0.0201,18.61,0.1202,0.0003538,8.3e-05,0.1906,4.285,6.863,2.0
-6.0,0.3235,0.3416,0.471,0.01987,18.3,0.03137,1.836e-05,1.67e-06,0.0515,3.643,7.996,3.0
-3.262,0.3083,0.6216,0.4622,0.01782,17.77,0.3442,0.00394,0.003502,0.7295,5.438,6.055,4.0
-3.988,0.3328,0.509,0.477,0.01881,20.28,0.2864,0.002058,0.000171,0.1924,3.69,6.918,0.0
-2.682,0.3335,0.465,0.4924,0.01668,18.5,0.1316,0.0004418,0.0001698,0.2737,5.105,7.47,1.0
-10.63,0.3223,0.4482,0.4446,0.0201,22.8,0.2908,0.001692,1.055e-05,0.04785,2.125,6.73,2.0
-1.309,0.3235,0.454,0.471,0.01987,19.16,0.1427,0.00049,7.6e-05,0.1718,4.027,6.965,3.0
-11.96,0.3083,0.4045,0.4775,0.01819,14.3,0.02618,1.97e-05,0.00019,0.4824,7.242,5.812,4.0
-5.535,0.3267,0.3967,0.4766,0.01631,19.06,0.0741,0.0001164,1.657e-05,0.11676,4.402,8.39,0.0
-1.651,0.3335,0.465,0.4924,0.02051,18.14,0.1267,0.0004172,0.0001572,0.2488,4.555,6.535,1.0
-4.836,0.3218,0.515,0.459,0.0201,20.44,0.3152,0.002499,0.0001642,0.1765,3.396,6.574,2.0
-8.586,0.3489,0.4683,0.4888,0.0202,21.7,0.279,0.001702,3.076e-05,0.0827,2.65,6.777,3.0
1.626,0.3,0.6123,0.4438,0.01727,18.48,0.381,0.004593,0.002329,0.592,5.113,6.414,4.0
-3.877,0.3267,0.4448,0.4766,0.01631,19.33,0.1306,0.0003996,6.85e-05,0.1816,4.547,7.94,0.0
-11.84,0.3533,0.3318,0.4849,0.02269,23.19,0.0796,8.994e-05,6e-08,0.00667,1.28,6.887,1.0
-3.95,0.3086,0.4353,0.4446,0.0201,19.8,0.1368,0.0004196,3.25e-05,0.11633,3.55,7.133,2.0
-2.22,0.3235,0.434,0.471,0.01938,19.12,0.11646,0.0003133,4.524e-05,0.1475,4.04,7.24,3.0
-6.047,0.3,0.6123,0.4438,0.010216,19.16,0.409,0.005108,0.002682,0.706,6.316,8.21,4.0
-5.03,0.3267,0.4114,0.4766,0.01631,19.17,0.0893,0.0001744,2.64e-05,0.135,4.453,8.25,0.0
-13.99,0.357,0.2869,0.4807,0.02051,25.22,0.05276,2.98e-05,0.0,0.001135,0.7085,7.062,1.0
-17.02,0.3596,0.4482,0.4446,0.0201,29.19,1.063,0.01768,2.4e-07,0.002975,0.3777,3.416,2.0
-13.125,0.3235,0.358,0.4385,0.02034,24.55,0.148,0.0003214,2e-07,0.00792,1.22,6.848,3.0
-1.84,0.3027,0.573,0.4487,0.014694,18.66,0.3032,0.002754,0.001482,0.555,5.61,7.207,4.0
-7.246,0.3547,0.6885,0.4915,0.01631,21.4,1.061,0.03314,0.001326,0.2932,3.215,6.34,0.0
-12.26,0.3335,0.1791,0.4543,0.02051,21.48,0.00106,0.0,0.0,1.115e-05,0.2742,8.89,1.0
5.566,0.306,0.6626,0.4492,0.0175,18.78,0.5356,0.0094,0.00353,0.62,4.79,6.223,2.0
-12.164,0.3035,0.4087,0.471,0.02054,14.03,0.02612,2.027e-05,0.0002198,0.4905,6.832,5.246,3.0
-14.51,0.3232,0.6216,0.4077,0.014755,25.9,1.894,0.0818,5.215e-05,0.0411,1.158,4.875,4.0
11.52,0.3267,0.6885,0.4766,0.01631,19.14,0.6523,0.014,0.00414,0.629,4.74,6.42,0.0
-4.492,0.3284,0.423,0.4878,0.0203,17.47,0.07196,0.0001279,6.73e-05,0.2091,4.816,6.74,1.0
-14.4,0.3223,0.6133,0.4084,0.014755,25.84,1.776,0.0715,5.09e-05,0.04245,1.211,5.03,2.0
-9.66,0.3032,0.626,0.471,0.01645,15.94,0.2278,0.001931,0.00892,1.288,6.812,5.453,3.0
-14.51,0.3232,0.6216,0.4077,0.01474,25.9,1.895,0.0818,5.21e-05,0.0411,1.158,4.875,4.0
-7.87,0.3267,0.6885,0.451,0.01498,21.72,1.114,0.03607,0.001243,0.2847,3.23,6.6,0.0
-16.69,0.3018,0.3745,0.4924,0.02051,9.8,0.00455,8e-07,0.000588,1.156,8.88,2.883,1.0
-0.8403,0.326,0.512,0.472,0.01927,19.6,0.2554,0.001703,0.0002468,0.2379,4.02,6.742,2.0
-4.48,0.3164,0.434,0.471,0.0191,17.52,0.08075,0.0001646,9.924e-05,0.2449,5.086,6.902,3.0
1.626,0.3,0.6123,0.4438,0.01727,18.48,0.381,0.004593,0.002329,0.592,5.113,6.414,4.0
1.486,0.3267,0.6885,0.4766,0.01358,19.4,0.6704,0.01459,0.00437,0.674,5.14,7.066,0.0
-0.6396,0.3335,0.507,0.4924,0.02051,18.28,0.185,0.000951,0.0003808,0.3228,4.58,6.28,1.0
-11.0,0.306,0.4893,0.4753,0.01927,14.97,0.0723,0.0001721,0.001297,0.7812,6.79,5.25,2.0
-1.577,0.3433,0.5103,0.4966,0.01814,19.77,0.2568,0.001704,0.0002364,0.2379,4.125,7.03,3.0
-7.582,0.3,0.575,0.42,0.01727,21.56,0.5874,0.00896,0.0003176,0.1927,3.195,6.78,4.0
11.52,0.3267,0.6885,0.4766,0.01631,19.14,0.6523,0.014,0.00414,0.629,4.74,6.42,0.0
-12.31,0.3335,0.609,0.4397,0.01964,23.8,1.201,0.0353,0.00011456,0.0752,1.645,5.164,1.0
-8.305,0.306,0.4805,0.465,0.0217,16.16,0.0923,0.0002556,0.000541,0.4736,5.543,5.523,2.0
-17.05,0.3713,0.4214,0.4626,0.02087,29.28,0.823,0.00995,1e-07,0.00223,0.3618,3.533,3.0
-2.832,0.3,0.6167,0.449,0.01727,17.88,0.341,0.003824,0.003242,0.7153,5.496,6.215,4.0
5.66,0.3267,0.6274,0.4766,0.01631,19.33,0.4932,0.00748,0.002007,0.508,4.74,6.723,0.0
-3.453,0.3135,0.507,0.466,0.02165,17.72,0.165,0.0007796,0.000461,0.3596,4.688,5.918,1.0
-13.2,0.32,0.5884,0.4177,0.0175,24.72,1.241,0.03546,6.276e-05,0.05646,1.505,5.375,2.0
-5.83,0.349,0.5103,0.4966,0.01837,20.81,0.3223,0.002544,0.0001397,0.1674,3.453,7.01,3.0
1.626,0.3,0.6123,0.4438,0.01727,18.48,0.381,0.004593,0.002329,0.592,5.113,6.414,4.0
-12.46,0.3008,0.5557,0.4766,0.0133,14.69,0.10565,0.0004144,0.006874,1.556,8.46,5.48,0.0
-6.54,0.3066,0.4307,0.46,0.02145,16.75,0.06665,0.00011635,0.00011134,0.264,5.06,6.195,1.0
-9.61,0.306,0.446,0.4683,0.0175,15.75,0.05856,9.88e-05,0.0003502,0.4944,6.668,6.324,2.0
-1.449,0.3433,0.5103,0.4966,0.01839,19.73,0.2563,0.0016985,0.0002352,0.2365,4.094,6.973,3.0
-1.862,0.3,0.6123,0.4438,0.02086,18.16,0.3677,0.004353,0.002167,0.541,4.59,5.656,4.0
-11.74,0.3594,0.6885,0.4722,0.01631,23.44,1.651,0.0733,0.0004,0.1257,1.958,5.49,0.0
-4.496,0.329,0.507,0.4924,0.02051,17.4,0.1521,0.000674,0.0005703,0.4167,5.098,6.035,1.0
6.004,0.3286,0.6733,0.4766,0.01671,19.39,0.642,0.01322,0.003103,0.551,4.523,6.434,2.0
-0.2264,0.3413,0.5103,0.4963,0.01799,19.47,0.2411,0.001524,0.0002735,0.2622,4.33,7.035,3.0
-6.492,0.305,0.6123,0.4282,0.01727,21.19,0.6816,0.012825,0.000631,0.25,3.371,6.6,4.0
-9.96,0.3052,0.6885,0.4766,0.01631,15.82,0.3062,0.003735,0.01825,1.575,6.742,5.19,0.0
0.1196,0.3335,0.609,0.4924,0.0198,18.38,0.3743,0.00444,0.001995,0.5283,4.664,5.914,1.0
-3.912,0.3171,0.6733,0.4766,0.01671,17.7,0.441,0.006832,0.006824,0.911,5.633,6.027,2.0
0.3176,0.3413,0.5103,0.4963,0.01895,19.39,0.2388,0.001502,0.0002685,0.256,4.207,6.8,3.0
-0.749,0.3,0.5137,0.4438,0.01727,18.44,0.1963,0.001072,0.0004983,0.3804,5.14,6.95,4.0
0.1058,0.331,0.6343,0.4897,0.0189,18.31,0.4219,0.005817,0.00296,0.613,4.85,5.96,0.0
-10.8,0.3145,0.609,0.4924,0.0198,15.195,0.1775,0.001208,0.00834,1.268,6.42,4.668,1.0
4.465,0.3208,0.631,0.4727,0.01671,18.75,0.4458,0.00632,0.00266,0.597,5.03,6.508,2.0
-6.86,0.3137,0.3552,0.4646,0.01895,17.03,0.02815,1.66e-05,6.6e-06,0.1042,4.75,7.695,3.0
-5.47,0.3057,0.4468,0.4573,0.0202,17.12,0.08453,0.0001894,0.00016,0.2927,5.164,6.43,4.0
11.52,0.3267,0.6885,0.4766,0.01631,19.14,0.6523,0.014,0.00414,0.629,4.74,6.42,0.0
0.9395,0.3335,0.609,0.4922,0.01933,18.44,0.378,0.00451,0.001993,0.5312,4.72,6.016,1.0
0.1846,0.3352,0.6733,0.492,0.01965,18.56,0.552,0.01019,0.003819,0.608,4.484,5.727,2.0
1.897,0.3398,0.523,0.4963,0.0186,19.17,0.2499,0.001697,0.0003896,0.301,4.42,6.76,3.0
-0.2537,0.3054,0.586,0.4407,0.01826,19.8,0.4375,0.005486,0.00083,0.3416,4.1,6.55,4.0
-11.086,0.3557,0.6357,0.4768,0.0166,23.2,1.181,0.03604,0.0002868,0.1289,2.229,6.004,0.0
2.355,0.3335,0.609,0.4922,0.01616,18.73,0.3901,0.00473,0.002123,0.575,5.19,6.727,1.0
-13.1,0.3286,0.665,0.4226,0.0164,24.44,1.818,0.0835,0.000173,0.0766,1.511,5.047,2.0
0.1792,0.3123,0.523,0.4536,0.0186,19.5,0.269,0.001932,0.0003316,0.271,4.21,6.812,3.0
2.326,0.3096,0.5317,0.4539,0.01779,19.02,0.2551,0.001807,0.0005193,0.3464,4.688,6.86,4.0
2.697,0.3066,0.6235,0.444,0.0177,19.55,0.514,0.00801,0.001586,0.4355,4.33,6.46,0.0
-1.549,0.3308,0.6177,0.4924,0.01535,18.33,0.372,0.00444,0.003,0.695,5.633,6.734,1.0
6.336,0.3286,0.682,0.4768,0.01588,19.42,0.668,0.014404,0.003521,0.5835,4.652,6.58,2.0
-6.684,0.3123,0.6006,0.4382,0.01877,21.14,0.6396,0.01118,0.0004983,0.2233,3.178,6.32,3.0
-5.74,0.3025,0.3923,0.4343,0.0197,19.94,0.0885,0.0001568,7.33e-06,0.069,3.283,7.63,4.0
11.52,0.3267,0.6885,0.4766,0.01631,19.14,0.6523,0.014,0.00414,0.629,4.74,6.42,0.0
2.355,0.3335,0.609,0.4922,0.01616,18.73,0.3901,0.00473,0.002123,0.575,5.19,6.727,1.0
-12.02,0.3643,0.682,0.4768,0.01588,23.67,1.672,0.074,0.0003417,0.11615,1.902,5.52,2.0
0.8247,0.3284,0.6494,0.473,0.017,19.8,0.6206,0.01183,0.001972,0.4507,4.254,6.51,3.0
-0.6016,0.311,0.5317,0.4504,0.01846,19.69,0.298,0.002378,0.0003605,0.271,4.133,6.812,4.0
1.465,0.322,0.64,0.4766,0.01607,18.56,0.4465,0.00647,0.003376,0.673,5.285,6.555,0.0
-6.785,0.3496,0.6646,0.4883,0.01454,21.39,0.915,0.02414,0.00123,0.316,3.602,6.94,1.0
-3.66,0.3286,0.484,0.4768,0.01588,19.78,0.2036,0.001022,0.0001537,0.2238,4.484,7.79,2.0
-3.059,0.3242,0.6885,0.4602,0.01678,20.31,0.845,0.02216,0.002258,0.4192,3.854,6.38,3.0
-2.828,0.3052,0.566,0.4375,0.01852,20.17,0.419,0.004814,0.000504,0.274,3.828,6.625,4.0
-2.242,0.3428,0.585,0.4958,0.0147,20.0,0.4358,0.005375,0.000937,0.3887,4.664,7.418,0.0
7.15,0.3335,0.609,0.4875,0.01749,19.12,0.4302,0.005634,0.001634,0.4778,4.66,6.523,1.0
-0.6855,0.3242,0.6836,0.4646,0.01547,20.05,0.7646,0.01831,0.002708,0.4907,4.305,6.71,2.0
2.895,0.327,0.655,0.4727,0.01735,19.55,0.6084,0.01157,0.002289,0.4836,4.332,6.395,3.0
1.1875,0.3079,0.5044,0.4495,0.01927,19.1,0.2151,0.0012245,0.0002677,0.2651,4.316,6.723,4.0
5.97,0.3027,0.6113,0.4426,0.01662,19.2,0.44,0.005886,0.001723,0.4937,4.785,6.71,0.0
7.15,0.3335,0.609,0.4875,0.01749,19.12,0.4302,0.005634,0.001634,0.4778,4.66,6.523,1.0
5.61,0.3286,0.682,0.4768,0.01556,19.45,0.6704,0.01447,0.003544,0.588,4.7,6.652,2.0
-9.336,0.327,0.655,0.4456,0.0191,22.02,1.059,0.0311,0.0005546,0.1809,2.502,5.703,3.0
1.277,0.3118,0.5317,0.4543,0.01779,19.36,0.275,0.002062,0.000442,0.312,4.47,6.918,4.0
-5.902,0.3267,0.6567,0.4587,0.01631,21.05,0.8345,0.02025,0.001188,0.3137,3.535,6.594,0.0
4.26,0.3335,0.5815,0.4875,0.01894,19.03,0.363,0.003906,0.001072,0.4102,4.457,6.34,1.0
-2.76,0.347,0.653,0.495,0.01562,20.36,0.7026,0.014786,0.001697,0.4084,4.13,6.832,2.0
-4.445,0.327,0.6714,0.462,0.01576,20.7,0.8325,0.0208,0.001714,0.3782,3.83,6.684,3.0
1.345,0.3115,0.5317,0.4543,0.01779,19.34,0.2742,0.00205,0.000445,0.3132,4.477,6.918,4.0
1.394,0.3225,0.6494,0.4675,0.01497,19.7,0.5947,0.01092,0.002363,0.52,4.723,6.97,0.0
5.1,0.3313,0.6167,0.4875,0.01749,18.77,0.416,0.00542,0.00212,0.5454,4.88,6.418,1.0
-1.61,0.3413,0.586,0.4956,0.01462,19.83,0.4214,0.00508,0.001041,0.4146,4.81,7.41,2.0
-9.72,0.327,0.6714,0.4434,0.01576,22.47,1.213,0.04065,0.000664,0.1968,2.674,6.266,3.0
-5.367,0.3196,0.5317,0.4543,0.01984,20.64,0.3704,0.003504,0.0002072,0.1846,3.338,6.527,4.0
10.99,0.3267,0.6885,0.4766,0.01653,19.12,0.651,0.01396,0.00412,0.626,4.707,6.375,0.0
-0.07874,0.3335,0.629,0.495,0.01749,18.27,0.4001,0.005215,0.003109,0.658,5.184,6.24,1.0
-2.496,0.3438,0.561,0.499,0.01461,19.86,0.3623,0.00363,0.000705,0.3687,4.793,7.57,2.0
-6.49,0.3083,0.607,0.4338,0.016,21.25,0.657,0.01181,0.000625,0.26,3.559,6.945,3.0
3.086,0.3098,0.538,0.4543,0.0184,18.94,0.2646,0.001968,0.0005755,0.3535,4.613,6.676,4.0
-2.295,0.3467,0.652,0.4956,0.01573,20.28,0.6865,0.01416,0.001734,0.416,4.168,6.812,0.0
5.93,0.332,0.6143,0.487,0.01802,18.86,0.4216,0.00552,0.001907,0.5117,4.715,6.34,1.0
-4.46,0.3286,0.682,0.4949,0.01588,17.64,0.4507,0.007217,0.008,0.985,5.836,6.13,2.0
-8.7,0.327,0.6475,0.4497,0.01576,22.06,0.978,0.02632,0.000663,0.2206,2.998,6.58,3.0
-6.188,0.3098,0.5547,0.4688,0.01915,17.02,0.1941,0.001207,0.001781,0.6494,5.656,5.85,4.0
-3.734,0.3267,0.6885,0.4907,0.01614,17.77,0.4795,0.008156,0.00791,0.9526,5.684,6.105,0.0
-6.902,0.3176,0.502,0.4807,0.02023,16.72,0.12384,0.000462,0.0007215,0.5,5.566,5.855,1.0
-11.68,0.3,0.682,0.4768,0.01588,14.945,0.2389,0.002394,0.02538,1.954,7.246,4.76,2.0
-7.047,0.327,0.6714,0.4988,0.01529,17.02,0.3696,0.004986,0.009796,1.167,6.383,6.01,3.0
4.91,0.3054,0.6006,0.4453,0.01715,19.33,0.426,0.00542,0.001363,0.4443,4.605,6.668,4.0
10.836,0.3267,0.671,0.4766,0.01653,19.19,0.6035,0.01177,0.003386,0.591,4.71,6.457,0.0
1.913,0.3125,0.5454,0.4604,0.01907,18.58,0.2595,0.001949,0.0007443,0.3955,4.71,6.414,1.0
-2.621,0.3286,0.681,0.4915,0.01588,17.98,0.4856,0.00821,0.00678,0.8906,5.613,6.254,2.0
-5.76,0.3499,0.6465,0.4937,0.01447,21.08,0.779,0.01744,0.001213,0.3398,3.877,7.113,3.0
2.299,0.3083,0.5435,0.4539,0.01894,18.64,0.259,0.001929,0.000701,0.3862,4.695,6.47,4.0
-9.93,0.3464,0.594,0.4766,0.01356,22.73,0.803,0.01627,0.0002992,0.1726,3.053,7.387,0.0
5.93,0.332,0.6143,0.487,0.01802,18.86,0.4216,0.00552,0.001907,0.5117,4.715,6.34,1.0
-5.754,0.3286,0.694,0.4597,0.01793,20.78,0.97,0.0287,0.001707,0.3354,3.336,6.047,2.0
-5.29,0.3499,0.66,0.4941,0.01447,20.95,0.815,0.01949,0.001488,0.3665,3.93,7.047,3.0
2.299,0.3083,0.5435,0.4539,0.01894,18.64,0.259,0.001929,0.000701,0.3862,4.695,6.47,4.0
-10.65,0.3035,0.671,0.4766,0.01653,15.47,0.258,0.00267,0.01765,1.634,6.91,5.023,0.0
-4.504,0.332,0.6357,0.4705,0.0194,20.4,0.675,0.013374,0.001055,0.308,3.46,6.06,1.0
-9.055,0.3286,0.5586,0.455,0.01822,22.12,0.5977,0.008835,0.0001713,0.1387,2.748,6.547,2.0
-5.29,0.3499,0.66,0.4941,0.01447,20.95,0.815,0.01949,0.001488,0.3665,3.93,7.047,3.0
-0.1431,0.3066,0.5317,0.4534,0.01956,18.28,0.2217,0.001418,0.0006514,0.3918,4.785,6.32,4.0
2.729,0.3267,0.671,0.4766,0.01888,18.95,0.5894,0.01137,0.00323,0.5566,4.39,5.945,0.0
4.996,0.332,0.577,0.487,0.01802,18.9,0.3408,0.003448,0.00113,0.439,4.715,6.53,1.0
-6.29,0.3435,0.679,0.4827,0.01292,21.23,0.934,0.02568,0.001723,0.3801,3.977,7.312,2.0
-4.74,0.3499,0.66,0.4941,0.01662,20.72,0.798,0.01886,0.001425,0.3474,3.686,6.535,3.0
-0.1431,0.3066,0.5317,0.4534,0.01956,18.28,0.2217,0.001418,0.0006514,0.3918,4.785,6.32,4.0
-14.25,0.3267,0.671,0.4082,0.01653,25.27,2.281,0.1278,9.507e-05,0.0476,1.09,4.29,0.0
-14.19,0.306,0.4353,0.487,0.01802,12.734,0.02365,1.95e-05,0.001047,1.01,8.28,4.47,1.0
8.516,0.333,0.635,0.4858,0.01715,19.19,0.5024,0.00788,0.002216,0.519,4.652,6.484,2.0
-10.23,0.3499,0.66,0.4722,0.01662,22.67,1.209,0.0396,0.000495,0.1672,2.457,6.04,3.0
-1.115,0.3125,0.4968,0.4626,0.01956,18.17,0.1652,0.000749,0.000345,0.3284,4.812,6.508,4.0
6.08,0.3284,0.671,0.4766,0.01653,19.4,0.6343,0.012856,0.003035,0.5503,4.555,6.49,0.0
