like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-63.0,0.3525,0.5938,0.2147,0.001761,23.52,21.64,11.4,5.344,2.412,1.073,0.4744,0.0,0.0,0.0,0.0,0.0,9.24e-06,0.0005836,6.44e-06,0.0001451,0.002775,0.01692,0.09705,1.0
-57.47,0.394,0.4363,0.3167,0.02087,30.81,12.92,2.406,0.3743,0.05466,0.007767,0.001089,0.0,0.0,0.0,0.0,0.0,2.29e-05,0.002756,2.396e-05,0.00084,0.01978,0.1162,0.5283,2.0
-57.97,0.4097,0.4326,0.3025,0.02316,28.03,15.5,3.78,0.768,0.1465,0.02716,0.00497,0.0,0.0,0.0,0.0,0.0,2.56e-06,0.00042,2.2e-06,9.9e-05,0.003166,0.02365,0.1443,3.0
-67.94,0.4873,0.6997,0.1567,0.0009665,13.19,18.84,17.16,14.26,11.54,9.25,7.395,0.0,0.0,0.0,0.0,0.0,6e-08,2.44e-06,0.0,3e-07,5.6e-06,3.78e-05,0.000267,4.0
-60.22,0.4102,0.2825,0.4873,0.009895,38.62,0.459,0.00144,3.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-06,0.03305,2.121,0.08575,1.554,7.938,9.086,3.646,0.0
-63.78,0.3315,0.5166,0.1556,0.01712,16.31,20.83,13.7,7.82,4.25,2.266,1.196,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-06,0.0,1e-07,5.25e-06,5.335e-05,0.000534,1.0
-53.97,0.3298,0.518,0.3108,0.02861,30.14,7.23,0.8965,0.0964,0.00988,0.000993,9.89e-05,0.0,0.0,0.0,0.0,1.07e-05,0.003086,0.0905,0.003752,0.0444,0.3308,0.8735,1.634,2.0
-53.75,0.328,0.313,0.399,0.02493,33.03,0.4126,0.001574,4.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14e-05,0.06775,2.023,0.1428,1.465,4.47,3.803,1.17,3.0
-60.38,0.4749,0.32,0.3977,0.014656,37.38,11.19,1.051,0.0756,0.004936,0.000308,1.88e-05,0.0,0.0,0.0,0.0,0.0,1.2e-06,0.000717,1.55e-06,0.0001817,0.011856,0.1196,0.828,4.0
-48.84,0.3303,0.368,0.4165,0.02327,29.38,0.4563,0.002636,1.216e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0009713,0.2947,3.568,0.5273,2.79,4.86,3.092,0.7666,0.0
-60.66,0.351,0.4211,0.2888,0.00134,35.16,14.63,2.615,0.387,0.0536,0.007206,0.0009556,0.0,0.0,0.0,0.0,0.0,4.7e-05,0.0068,5.865e-05,0.002354,0.06274,0.3967,1.929,1.0
-62.62,0.4744,0.4702,0.2213,0.02663,15.11,19.81,12.37,6.562,3.291,1.612,0.7803,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,8.3e-07,1.025e-05,0.0001253,2.0
