like1,like2,like3,like4,like5,like6,like7,like8,like9,like10,like11,like12,like13,like14,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
16.81,3.598,0.1876,0.00748,0.0002737,9.66e-06,3.6e-07,0.0,0.0,6e-08,0.00391,0.728,4.82,6.117,0.338,0.4053,0.3477,0.01863,36.0,4.13,0.1956,0.0076,0.0002751,9.66e-06,3.6e-07,0.0,0.0,0.0,0.0,5.5e-06,0.005043,0.2502,1.0
16.2,2.014,0.0668,0.001673,3.87e-05,8.3e-07,0.0,0.0,0.0,6e-08,0.00391,0.728,4.805,5.64,0.3118,0.4006,0.342,0.0179,35.4,2.547,0.0747,0.001794,4.005e-05,9e-07,0.0,0.0,0.0,0.0,0.0,3.403e-05,0.02187,0.73,1.0
17.06,6.85,0.598,0.0404,0.00252,0.0001518,9e-06,0.0,0.0,6e-08,0.00391,0.728,4.824,6.336,0.3613,0.3958,0.3364,0.01718,36.25,7.387,0.606,0.04053,0.002522,0.0001518,9e-06,0.0,0.0,0.0,0.0,2e-07,0.0003436,0.03485,1.0
13.72,12.81,2.145,0.282,0.03433,0.00404,0.000468,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.4111,0.3909,0.3308,0.01646,32.9,13.35,2.152,0.2822,0.03433,0.00404,0.000468,0.0,0.0,0.0,0.0,0.0,6.56e-06,0.001425,1.0
9.19,18.1,4.79,1.001,0.1935,0.0362,0.006657,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4607,0.3862,0.3252,0.01575,28.38,18.62,4.797,1.001,0.1935,0.0362,0.006657,0.0,0.0,0.0,0.0,0.0,2e-07,6.473e-05,1.0
6.332,20.8,6.895,1.803,0.436,0.10187,0.0234,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4897,0.3813,0.3196,0.01502,25.53,21.33,6.902,1.803,0.436,0.10187,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,9.2e-06,1.0
9.96,18.08,4.53,0.8896,0.1614,0.02824,0.00486,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4402,0.3765,0.3142,0.014305,29.16,18.61,4.54,0.8896,0.1614,0.02824,0.00486,0.0,0.0,0.0,0.0,0.0,2e-07,6.527e-05,1.0
12.484,9.82,1.637,0.223,0.02867,0.003601,0.0004475,0.0,0.0,6e-08,0.00391,0.728,4.824,6.344,0.4272,0.4814,0.3726,0.01907,31.69,10.35,1.645,0.2231,0.02867,0.003601,0.0004475,0.0,0.0,0.0,0.0,6.6e-07,0.0004482,0.02534,1.0
17.97,9.07,0.8115,0.05408,0.003263,0.0001886,1.067e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.4255,0.3325,0.367,0.01836,37.16,9.61,0.8193,0.0542,0.003265,0.0001887,1.067e-05,0.0,0.0,0.0,0.0,0.0,4.7e-06,0.001883,1.0
27.25,5.92,0.09937,0.000954,7.45e-06,6e-08,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4238,0.1838,0.3613,0.01764,46.44,6.453,0.10736,0.001075,8.9e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-06,1.0
28.08,5.758,0.0693,0.000415,1.6e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4224,0.1649,0.3557,0.0169,47.28,6.29,0.0773,0.0005355,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,1.0
17.94,10.72,1.035,0.0735,0.004696,0.0002863,1.705e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.4207,0.3137,0.35,0.01619,37.12,11.25,1.043,0.0736,0.004696,0.0002863,1.705e-05,0.0,0.0,0.0,0.0,0.0,6.6e-07,0.0004745,1.0
12.32,12.305,2.443,0.3965,0.06058,0.009026,0.001328,0.0,0.0,6e-08,0.00391,0.728,4.824,6.363,0.4192,0.4626,0.3445,0.01547,31.52,12.836,2.451,0.3967,0.06058,0.009026,0.001328,0.0,0.0,0.0,0.0,6e-08,8.99e-05,0.007732,1.0
8.68,12.7,3.662,0.91,0.2178,0.05142,0.01207,0.0,0.0,6e-08,0.00391,0.728,4.824,6.34,0.4175,0.6113,0.3389,0.014755,27.88,13.234,3.67,0.91,0.2178,0.05142,0.01207,0.0,0.0,0.0,0.0,5.36e-06,0.001079,0.03137,1.0
8.03,13.06,4.08,1.107,0.2905,0.07526,0.01941,0.0,0.0,6e-08,0.00391,0.728,4.824,6.336,0.416,0.6396,0.3333,0.01403,27.22,13.59,4.086,1.107,0.2905,0.07526,0.01941,0.0,0.0,0.0,0.0,8e-06,0.001303,0.0336,1.0
10.945,13.95,3.434,0.701,0.1356,0.02565,0.004803,0.0,0.0,6e-08,0.00391,0.728,4.824,6.363,0.4143,0.491,0.3276,0.01331,30.14,14.484,3.441,0.701,0.1356,0.02565,0.004803,0.0,0.0,0.0,0.0,1e-07,8.06e-05,0.00609,1.0
14.76,14.61,2.299,0.275,0.02998,0.00314,0.0003219,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4128,0.3423,0.322,0.01259,33.97,15.14,2.307,0.2751,0.02998,0.00314,0.0003219,0.0,0.0,0.0,0.0,0.0,4e-07,0.0002269,1.0
19.19,13.53,0.682,0.02083,0.0005283,1.23e-05,3e-07,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4111,0.1935,0.3164,0.01187,38.38,14.06,0.69,0.02095,0.00053,1.23e-05,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,1.0
18.77,13.21,0.385,0.005978,7.34e-05,8e-07,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4094,0.1554,0.3108,0.011154,37.97,13.74,0.393,0.0061,7.474e-05,8.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.28,17.02,2.693,0.3127,0.03265,0.003246,0.000315,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.408,0.3042,0.3054,0.01043,33.47,17.55,2.701,0.313,0.03265,0.003246,0.000315,0.0,0.0,0.0,0.0,0.0,0.0,1.99e-05,1.0
10.336,17.08,4.83,1.119,0.244,0.05185,0.01088,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.4062,0.453,0.2998,0.00971,29.53,17.62,4.836,1.119,0.244,0.05185,0.01088,0.0,0.0,0.0,0.0,0.0,7.1e-06,0.000995,1.0
7.43,16.45,6.25,2.057,0.652,0.2036,0.06323,0.0,0.0,6e-08,0.00391,0.728,4.824,6.363,0.4048,0.6016,0.2942,0.008995,26.62,16.98,6.258,2.057,0.652,0.2036,0.06323,0.0,0.0,0.0,0.0,5.4e-07,0.0001671,0.006943,1.0
6.516,16.52,6.86,2.5,0.8813,0.3071,0.10657,0.0,0.0,6e-08,0.00391,0.728,4.824,6.36,0.403,0.6494,0.2886,0.00827,25.7,17.05,6.867,2.5,0.8813,0.3071,0.10657,0.0,0.0,0.0,0.0,1.43e-06,0.0002902,0.0094,1.0
8.414,18.44,6.54,1.947,0.5503,0.1522,0.0417,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.4016,0.5005,0.283,0.007553,27.61,18.97,6.55,1.947,0.5503,0.1522,0.0417,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.001085,1.0
10.234,21.0,5.56,1.136,0.2125,0.03824,0.00675,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4,0.3518,0.2773,0.006832,29.44,21.53,5.57,1.136,0.2125,0.03824,0.00675,0.0,0.0,0.0,0.0,0.0,0.0,1.836e-05,1.0
9.95,24.23,3.111,0.2495,0.0168,0.001041,6.175e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3984,0.203,0.2717,0.00611,29.16,24.77,3.121,0.2496,0.0168,0.001041,6.175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.19,26.33,1.874,0.06836,0.001931,4.82e-05,1.13e-06,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3967,0.1458,0.266,0.00539,25.39,26.86,1.882,0.0685,0.001932,4.83e-05,1.13e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.555,24.77,6.465,1.233,0.2107,0.0342,0.005413,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3953,0.2947,0.2605,0.004673,27.75,25.3,6.473,1.233,0.2107,0.0342,0.005413,0.0,0.0,0.0,0.0,0.0,0.0,3.6e-07,1.0
6.99,22.25,8.93,2.941,0.91,0.2742,0.08154,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3936,0.4434,0.255,0.003952,26.19,22.78,8.94,2.941,0.91,0.2742,0.08154,0.0,0.0,0.0,0.0,0.0,3e-07,7.41e-05,1.0
5.2,20.23,10.086,4.367,1.817,0.7456,0.3042,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3918,0.5923,0.2493,0.003231,24.39,20.77,10.09,4.367,1.817,0.7456,0.3042,0.0,0.0,0.0,0.0,6e-08,1.746e-05,0.001032,1.0
4.29,19.67,10.664,5.105,2.367,1.085,0.4956,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3904,0.659,0.2437,0.002512,23.48,20.22,10.67,5.105,2.367,1.085,0.4956,0.0,0.0,0.0,0.0,2.4e-07,5.025e-05,0.002005,1.0
5.035,22.53,11.19,4.703,1.879,0.736,0.2854,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3887,0.5103,0.2382,0.001792,24.23,23.06,11.195,4.703,1.879,0.736,0.2854,0.0,0.0,0.0,0.0,0.0,1.1e-06,0.0001374,1.0
4.844,26.84,11.36,3.752,1.14,0.3337,0.0958,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3872,0.3613,0.2325,0.001072,24.05,27.38,11.37,3.752,1.14,0.3337,0.0958,0.0,0.0,0.0,0.0,0.0,0.0,9.5e-07,1.0
0.9927,34.62,9.95,1.835,0.2869,0.04153,0.005764,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3855,0.2126,0.2269,0.0003517,20.19,35.16,9.97,1.835,0.2869,0.04153,0.005764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.05,42.75,7.707,0.6787,0.0454,0.002663,0.000145,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.384,0.1361,0.2213,0.0003684,13.14,43.28,7.715,0.6787,0.0454,0.002663,0.000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.236,31.36,13.305,4.094,1.122,0.292,0.07385,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3823,0.285,0.2157,0.001088,20.44,31.89,13.32,4.094,1.122,0.292,0.07385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.086,25.66,14.24,6.465,2.752,1.14,0.4656,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3809,0.4338,0.2101,0.001808,21.28,26.19,14.25,6.465,2.752,1.14,0.4656,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-06,1.0
1.509,22.11,13.98,7.66,4.035,2.092,1.078,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3792,0.5825,0.2045,0.00253,20.7,22.64,13.984,7.66,4.035,2.092,1.078,0.0,0.0,0.0,0.0,0.0,9.5e-07,7.96e-05,1.0
0.7803,20.53,13.74,8.15,4.688,2.668,1.512,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3774,0.6685,0.1989,0.003248,19.97,21.06,13.75,8.15,4.688,2.668,1.512,0.0,0.0,0.0,0.0,0.0,5.36e-06,0.000249,1.0
0.2537,23.23,15.03,8.26,4.324,2.22,1.13,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.376,0.52,0.1934,0.003967,19.45,23.77,15.04,8.26,4.324,2.22,1.13,0.0,0.0,0.0,0.0,0.0,6e-08,8.9e-06,1.0
1.684,27.42,16.75,8.05,3.566,1.525,0.6406,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3743,0.371,0.1877,0.00469,17.52,27.95,16.75,8.05,3.566,1.525,0.6406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.234,35.28,18.97,6.676,2.012,0.563,0.1515,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3728,0.2223,0.1821,0.00541,11.96,35.8,18.97,6.676,2.012,0.563,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.65,46.1,20.5,4.203,0.64,0.08435,0.01027,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.371,0.1266,0.1765,0.006126,4.547,46.62,20.52,4.203,0.64,0.08435,0.01027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.68,30.81,19.95,9.234,3.793,1.475,0.5566,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3696,0.2754,0.1709,0.006847,12.516,31.34,19.97,9.234,3.793,1.475,0.5566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.936,24.48,17.72,10.43,5.74,3.07,1.62,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.368,0.424,0.1653,0.00757,15.26,25.02,17.73,10.43,5.74,3.07,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.22,20.78,15.86,10.445,6.6,4.11,2.54,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3665,0.5728,0.1597,0.008286,15.98,21.31,15.87,10.445,6.6,4.11,2.54,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,1.0
3.355,18.83,14.78,10.27,6.934,4.63,3.08,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3647,0.678,0.154,0.00901,15.836,19.36,14.79,10.27,6.934,4.63,3.08,0.0,0.0,0.0,0.0,0.0,3.6e-07,1.8e-05,1.0
4.383,21.0,16.45,10.96,6.97,4.348,2.688,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.363,0.5293,0.1515,0.00973,14.81,21.53,16.47,10.96,6.97,4.348,2.688,0.0,0.0,0.0,0.0,0.0,0.0,4e-07,1.0
5.613,24.8,18.23,10.61,5.71,2.969,1.518,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3616,0.3806,0.1571,0.010445,13.58,25.33,18.25,10.61,5.71,2.969,1.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.38,31.8,20.38,8.695,3.2,1.099,0.3635,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3599,0.2318,0.1627,0.01117,9.81,32.3,20.38,8.695,3.2,1.099,0.3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.76,44.88,19.64,3.697,0.5034,0.05856,0.006237,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3584,0.11694,0.1683,0.01189,3.441,45.4,19.64,3.697,0.5034,0.05856,0.006237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.84,29.94,16.72,6.582,2.287,0.75,0.2385,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3567,0.2659,0.174,0.01261,13.36,30.47,16.73,6.582,2.287,0.75,0.2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.662,23.72,14.164,6.832,3.078,1.346,0.5796,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3552,0.4146,0.1794,0.01333,17.53,24.25,14.17,6.832,3.078,1.346,0.5796,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,1.0
0.26,20.08,12.35,6.53,3.312,1.652,0.8184,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3535,0.5635,0.185,0.014046,18.94,20.61,12.36,6.53,3.312,1.652,0.8184,0.0,0.0,0.0,0.0,0.0,2.4e-07,2.32e-05,1.0
0.09955,17.9,11.09,6.094,3.252,1.719,0.9053,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.352,0.688,0.1907,0.01477,19.3,18.44,11.1,6.094,3.252,1.719,0.9053,0.0,0.0,0.0,0.0,6e-08,8.1e-06,0.0003104,1.0
1.117,19.94,10.984,5.16,2.316,1.0205,0.4463,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3503,0.539,0.1963,0.01549,20.31,20.47,10.99,5.16,2.316,1.0205,0.4463,0.0,0.0,0.0,0.0,0.0,3.6e-07,3.66e-05,1.0
1.911,22.8,10.234,3.65,1.208,0.3867,0.1218,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3486,0.3901,0.2019,0.0162,21.11,23.34,10.24,3.65,1.208,0.3867,0.1218,0.0,0.0,0.0,0.0,0.0,0.0,8.3e-07,1.0
1.217,27.23,7.758,1.496,0.2505,0.03928,0.005943,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3472,0.2415,0.2075,0.01692,20.4,27.77,7.766,1.496,0.2505,0.03928,0.005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.453,32.72,2.057,0.05148,0.0009017,1.323e-05,2e-07,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3455,0.10736,0.2131,0.01765,12.74,33.25,2.064,0.0516,0.000903,1.33e-05,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.613,23.97,5.715,0.9443,0.1367,0.01863,0.002459,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.344,0.256,0.2188,0.01837,23.81,24.5,5.723,0.9443,0.1367,0.01863,0.002459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.773,19.44,6.58,1.783,0.4495,0.1099,0.02646,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3423,0.405,0.2242,0.01909,24.97,19.97,6.59,1.783,0.4495,0.1099,0.02646,0.0,0.0,0.0,0.0,0.0,6e-08,1.87e-05,1.0
4.99,16.61,6.598,2.238,0.7266,0.2318,0.0734,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3408,0.5537,0.2299,0.0198,24.19,17.14,6.605,2.238,0.7266,0.2318,0.0734,0.0,0.0,0.0,0.0,0.0,1.246e-05,0.0008063,1.0
3.867,14.664,6.35,2.432,0.905,0.3335,0.1225,0.0,0.0,6e-08,0.00391,0.728,4.824,6.363,0.339,0.6973,0.2355,0.02052,23.06,15.195,6.36,2.432,0.905,0.3335,0.1225,0.0,0.0,0.0,0.0,1.85e-06,0.0002563,0.006435,1.0
6.234,15.266,5.297,1.562,0.4402,0.12195,0.0335,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3376,0.549,0.2411,0.02126,25.44,15.8,5.305,1.562,0.4402,0.12195,0.0335,0.0,0.0,0.0,0.0,6e-08,3.03e-05,0.001789,1.0
9.48,15.54,3.66,0.684,0.1188,0.01997,0.003307,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.336,0.4,0.2467,0.02197,28.67,16.06,3.668,0.684,0.1188,0.01997,0.003307,0.0,0.0,0.0,0.0,0.0,7e-07,0.0001836,1.0
14.12,14.35,1.452,0.1002,0.00603,0.0003407,1.86e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3342,0.251,0.2522,0.02269,33.3,14.88,1.46,0.10034,0.00603,0.0003407,1.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.13e-06,1.0
18.61,6.41,0.01703,8.61e-05,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3328,0.10223,0.2578,0.0234,37.8,6.94,0.025,3.445e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.25,11.1,0.7827,0.03726,0.00154,5.955e-05,2.2e-06,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.331,0.2466,0.2634,0.02412,36.44,11.63,0.791,0.03738,0.001541,5.96e-05,2.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.54e-06,1.0
12.664,11.21,1.734,0.2106,0.02367,0.002575,0.0002759,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3296,0.3953,0.269,0.02484,31.86,11.74,1.742,0.2107,0.02367,0.002575,0.0002759,0.0,0.0,0.0,0.0,0.0,8.64e-06,0.001596,1.0
9.13,10.56,2.324,0.4294,0.0757,0.0131,0.002249,0.0,0.0,6e-08,0.00391,0.728,4.824,6.35,0.328,0.544,0.2747,0.02557,28.33,11.09,2.332,0.4294,0.0757,0.0131,0.002249,0.0,0.0,0.0,0.0,1.5e-06,0.000499,0.01924,1.0
6.44,9.82,2.639,0.617,0.14,0.03146,0.007046,0.0,0.0,6e-08,0.00391,0.728,4.82,6.293,0.3264,0.693,0.2803,0.02629,25.64,10.35,2.646,0.617,0.14,0.03146,0.007046,0.0,0.0,0.0,6e-08,5.573e-05,0.004818,0.0758,1.0
9.375,9.0,1.733,0.2798,0.04315,0.00654,0.000983,0.0,0.0,6e-08,0.00391,0.728,4.824,6.324,0.3247,0.558,0.286,0.02701,28.58,9.53,1.742,0.28,0.04315,0.00654,0.000983,0.0,0.0,0.0,0.0,6.2e-06,0.001514,0.04465,1.0
14.14,7.344,0.7686,0.0628,0.00476,0.0003493,2.53e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.355,0.3232,0.4094,0.2915,0.02773,33.34,7.875,0.7764,0.0629,0.00476,0.0003493,2.53e-05,0.0,0.0,0.0,0.0,1e-07,0.0001565,0.0151,1.0
22.5,4.156,0.1151,0.002178,3.636e-05,5.4e-07,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3215,0.2607,0.297,0.02844,41.7,4.688,0.1231,0.002298,3.78e-05,6e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-06,0.001338,1.0
43.94,0.066,0.00787,0.0001205,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3198,0.1118,0.3027,0.02917,63.12,0.466,9.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,1.0
25.2,2.152,0.02432,0.000145,5e-07,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3184,0.2369,0.3083,0.02989,44.4,2.686,0.0323,0.0002656,1.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,0.00277,1.0
15.87,3.957,0.2173,0.00903,0.0003436,1.25e-05,5e-07,0.0,0.0,6e-08,0.00391,0.728,4.824,6.297,0.3167,0.3857,0.314,0.02939,35.06,4.49,0.2252,0.009155,0.0003448,1.26e-05,5e-07,0.0,0.0,0.0,0.0,6e-07,0.00096,0.07135,1.0
10.69,4.797,0.4954,0.04138,0.003267,0.0002527,1.94e-05,0.0,0.0,6e-08,0.00391,0.728,4.812,6.082,0.3152,0.5347,0.3196,0.02867,29.89,5.33,0.5034,0.0415,0.003267,0.0002527,1.94e-05,0.0,0.0,0.0,0.0,8.684e-05,0.015076,0.2861,1.0
7.277,5.152,0.7583,0.09393,0.01122,0.001325,0.0001559,0.0,0.0,6e-08,0.00391,0.7266,4.758,5.76,0.3135,0.6836,0.3252,0.02795,26.47,5.688,0.7666,0.09406,0.01122,0.001325,0.0001559,0.0,0.0,0.0,1.4e-06,0.001403,0.0693,0.608,1.0
9.8,3.998,0.3845,0.0299,0.002203,0.0001593,1.144e-05,0.0,0.0,6e-08,0.00391,0.7275,4.777,5.766,0.312,0.568,0.3308,0.02724,28.98,4.53,0.3926,0.03003,0.002205,0.0001593,1.144e-05,0.0,0.0,0.0,1e-07,0.000454,0.04684,0.602,1.0
14.234,2.238,0.09015,0.002752,7.73e-05,2.1e-06,6e-08,0.0,0.0,6e-08,0.00391,0.728,4.81,5.883,0.3103,0.419,0.3362,0.0265,33.44,2.771,0.0981,0.002872,7.87e-05,2.1e-06,6e-08,0.0,0.0,0.0,0.0,3.266e-05,0.01636,0.4856,1.0
21.25,0.3416,0.00331,0.0001026,1.3e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.105,0.3088,0.2703,0.3418,0.02579,40.44,0.8735,0.00466,1.794e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.001551,0.2634,1.0
34.28,0.5215,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.35,0.3071,0.12146,0.3474,0.02507,53.47,0.01087,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,0.01959,1.0
21.81,0.2722,0.007668,0.00012034,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,5.883,0.3057,0.2274,0.353,0.02435,41.0,0.2598,0.000304,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.001887,0.485,1.0
13.625,0.5293,0.005127,9.36e-06,2e-07,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.754,4.75,0.304,0.3762,0.3586,0.02364,32.8,1.062,0.0131,0.0001299,1.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001439,0.0737,1.618,1.0
8.91,1.306,0.05475,0.001742,5.14e-05,1.43e-06,6e-08,0.0,0.0,6e-08,0.00391,0.723,4.484,3.805,0.3022,0.525,0.3643,0.02292,28.1,1.837,0.06274,0.001863,5.275e-05,1.5e-06,6e-08,0.0,0.0,0.0,1.25e-06,0.00473,0.3398,2.564,1.0
5.746,1.879,0.1371,0.007805,0.0004191,2.205e-05,1.13e-06,0.0,0.0,6e-08,0.003849,0.696,4.055,3.168,0.3008,0.674,0.3699,0.02219,24.94,2.41,0.145,0.00793,0.0004206,2.21e-05,1.13e-06,0.0,0.0,0.0,6.24e-05,0.03223,0.7715,3.201,1.0
6.906,1.147,0.05264,0.001818,5.82e-05,1.8e-06,6e-08,0.0,0.0,6e-08,0.003897,0.709,4.094,2.756,0.3008,0.5776,0.3755,0.02147,26.11,1.68,0.06064,0.001938,5.955e-05,1.8e-06,6e-08,0.0,0.0,0.0,1.38e-05,0.0191,0.7314,3.613,1.0
9.33,0.2302,0.0009284,3.41e-05,6e-07,0.0,0.0,0.0,0.0,6e-08,0.00391,0.7246,4.36,2.424,0.3025,0.4287,0.381,0.02075,28.53,0.762,0.0089,8.64e-05,8e-07,0.0,0.0,0.0,0.0,0.0,2e-07,0.003496,0.4675,3.945,1.0
11.83,0.3972,0.00782,0.0001204,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.664,2.223,0.304,0.2798,0.3867,0.02003,31.02,0.1349,0.0001527,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.286e-05,0.1635,4.15,1.0
10.21,0.5317,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,3.084,0.3057,0.131,0.3923,0.01932,29.4,0.0003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003567,3.285,1.0
10.7,0.51,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.72,1.164,0.3074,0.2178,0.398,0.01859,29.89,0.02242,2.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7e-06,0.1085,5.207,1.0
8.48,0.24,0.00683,0.000117,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.7246,4.125,0.4675,0.3088,0.3665,0.4036,0.01787,27.67,0.292,0.0011425,3.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.003267,0.6997,5.902,1.0
