like1,like2,like3,like4,like5,like6,like7,like8,like9,like10,like11,like12,like13,like14,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
4.51,33.12,19.66,8.35,3.15,1.124,0.3896,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4014,0.2756,0.1965,0.0008144,14.68,33.66,19.67,8.35,3.15,1.124,0.3896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.83,31.44,24.45,13.51,6.605,3.055,1.37,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.451,0.271,0.1909,0.001534,10.37,31.97,24.45,13.51,6.605,3.055,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.65,28.39,26.75,17.75,10.4,5.75,3.082,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4993,0.266,0.1853,0.002254,7.543,28.92,26.75,17.75,10.4,5.75,3.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.53,30.23,25.58,15.16,7.906,3.887,1.852,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4497,0.2612,0.1797,0.002974,8.664,30.77,25.6,15.16,7.906,3.887,1.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.87,32.06,23.39,11.87,5.285,2.215,0.899,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4001,0.2566,0.1741,0.003695,10.33,32.6,23.39,11.87,5.285,2.215,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.31,33.38,19.66,8.0,2.85,0.953,0.3086,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3506,0.2517,0.1685,0.004414,12.89,33.9,19.67,8.0,2.85,0.953,0.3086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.143,33.0,14.07,4.113,1.048,0.2505,0.05786,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.301,0.247,0.1628,0.005135,17.05,33.53,14.08,4.113,1.048,0.2505,0.05786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.68,32.84,21.86,9.88,3.885,1.431,0.5083,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3486,0.2421,0.1573,0.005856,10.516,33.38,21.86,9.88,3.885,1.431,0.5083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.54,29.0,26.14,15.82,8.3,4.066,1.924,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3982,0.2373,0.1517,0.006573,6.656,29.53,26.14,15.82,8.3,4.066,1.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.22,25.92,27.03,18.72,11.195,6.25,3.36,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4478,0.2325,0.1539,0.007294,4.977,26.45,27.03,18.72,11.195,6.25,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
