like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-25.48,0.3235,0.3718,0.4827,0.02396,16.3,0.031,2.223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47e-05,0.1318,4.438,6.16,5.047,1.169,0.05887,0.001173,1.19e-05,1.0
-62.44,0.3953,0.2515,0.3337,0.015015,41.38,9.43,0.4727,0.01662,0.0005107,1.48e-05,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.74e-05,0.0002663,0.013954,0.352,2.248,5.277,2.0
-62.66,0.319,0.589,0.1761,0.00926,20.5,20.95,12.18,6.293,3.129,1.533,0.7466,0.0,0.0,0.0,0.0,0.0,1.4e-06,9.95e-05,0.0001982,0.002058,0.01848,0.09265,0.3042,3.0
-43.2,0.3088,0.593,0.3772,0.0265,25.88,1.978,0.08636,0.003359,0.0001256,4.65e-06,2e-07,0.0,0.0,0.0,9.95e-06,0.01271,0.493,2.604,3.076,3.959,2.627,0.977,0.2385,4.0
-60.25,0.4036,0.3193,0.345,0.01735,37.7,9.914,0.8174,0.05154,0.002947,0.000161,8.6e-06,0.0,0.0,0.0,0.0,0.0,2e-06,0.001104,0.002855,0.05896,0.6714,2.592,4.562,0.0
-34.56,0.3523,0.1715,0.4827,0.02396,19.94,0.0005493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75e-06,0.257,8.35,9.41,3.578,0.08563,0.000272,2e-07,1.0
-60.72,0.3953,0.2515,0.2969,0.015015,34.28,16.38,1.722,0.1268,0.00818,0.0004954,2.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-06,5.1e-06,0.0004847,0.02565,0.343,1.689,2.0
-74.4,0.403,0.1882,0.1761,0.001905,7.02,38.28,26.34,11.06,3.844,1.221,0.3691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-06,3.0
-20.19,0.3088,0.4624,0.4456,0.01477,20.27,0.1847,0.000789,2.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.83e-05,0.1733,4.32,8.33,7.67,3.244,0.4358,0.0278,0.001032,4.0
-42.84,0.3296,0.598,0.4045,0.0247,25.88,1.972,0.0865,0.00338,0.0001272,4.7e-06,2e-07,0.0,0.0,0.0,1.323e-05,0.01546,0.5664,2.877,3.379,4.258,2.771,1.017,0.2455,0.0
